"","track.name","instrumentalness","danceability","acousticness","energy","tempo","speechiness","valence","Playlist"
"161","Place In Me",2.36e-06,0.274,0.865,0.345,68.639,0.0309,0.218,"Sad"
"162","Rockland",0.000182,0.486,0.786,0.402,125.801,0.048,0.398,"Sad"
"163","my tears ricochet",0,0.456,0.814,0.265,129.947,0.0328,0.112,"Sad"
"164","Male Fantasy",0,0.687,0.863,0.288,110.927,0.045,0.308,"Sad"
"165","Unstable (feat. The Kid LAROI)",0,0.495,0.737,0.333,99.757,0.0288,0.37,"Sad"
"166","Dumb Love",0,0.569,0.0296,0.422,76.96,0.0302,0.175,"Sad"
"167","Crazier Things",3.35e-06,0.606,0.731,0.237,93.105,0.029,0.254,"Sad"
"168","A Concert Six Months From Now",0,0.53,0.712,0.232,138.908,0.0584,0.268,"Sad"
"169","Crocodiles",0,0.543,0.658,0.44,139.58,0.0379,0.348,"Sad"
"170","right where you left me - bonus track",0.000106,0.581,0.769,0.619,137.915,0.0282,0.645,"Sad"
"171","Stay",0,0.618,0.883,0.37,114.26,0.0543,0.433,"Sad"
"172","Broken",0,0.504,0.518,0.352,83.259,0.0615,0.229,"Sad"
"173","Lonely (with benny blanco)",0,0.631,0.879,0.226,79.968,0.0396,0.0765,"Sad"
"174","Skinny Dipping - Acoustic",0,0.411,0.71,0.28,172.073,0.063,0.576,"Sad"
"175","It's Raining, It's Pouring",1.94e-05,0.598,0.68,0.444,113.919,0.0327,0.286,"Sad"
"176","happiness",0,0.559,0.87,0.334,122.079,0.0376,0.211,"Sad"
"177","i looked into your eyes",0,0.475,0.853,0.0989,133.713,0.0474,0.3,"Sad"
"178","Here's Your Perfect",0,0.558,0.499,0.454,113.12,0.0551,0.424,"Sad"
"179","Lose You To Love Me",0,0.505,0.576,0.34,101.993,0.0438,0.0916,"Sad"
"180","i love you",0.00453,0.421,0.952,0.131,137.446,0.0382,0.12,"Sad"
"181","The Worst Of You",6.64e-06,0.555,0.791,0.35,77.772,0.0503,0.404,"Sad"
"182","Renegade (feat. Taylor Swift)",0.0236,0.532,0.435,0.708,167.977,0.0505,0.586,"Sad"
"183","evermore (feat. Bon Iver)",0.00227,0.39,0.937,0.27,125.177,0.0308,0.32,"Sad"
"184","The Trauma and The Pleasure",0,0.604,0.335,0.601,141.011,0.046,0.572,"Sad"
"185","My Person",0,0.504,0.599,0.596,143.818,0.384,0.215,"Sad"
"186","To Be Loved",0,0.356,0.843,0.176,170.425,0.0391,0.289,"Sad"
"187","Is It Just Me? (feat. JP Cooper)",0,0.478,0.688,0.339,145.441,0.0544,0.288,"Sad"
"188","Older",0,0.628,0.732,0.298,63.762,0.0713,0.166,"Sad"
"189","Liability",0,0.587,0.92,0.229,75.67,0.128,0.379,"Sad"
"190","listen before i go",0.00384,0.319,0.935,0.0561,79.764,0.045,0.082,"Sad"
"191","i can't breathe",0.00287,0.347,0.893,0.209,82.878,0.0273,0.0735,"Sad"
"192","Someone Like You (feat. Joy Oladokun)",0,0.614,0.468,0.526,177.913,0.0603,0.366,"Sad"
"193","The Night You Left",0,0.307,0.397,0.521,83.155,0.0848,0.39,"Sad"
"194","Panic Attacks in Paradise",0,0.695,0.554,0.386,127.947,0.0337,0.214,"Sad"
"195","tear myself apart",0,0.488,0.212,0.498,85.985,0.0274,0.324,"Sad"
"196","Happier Without Me",0,0.398,0.436,0.248,159.941,0.0355,0.199,"Sad"
"197","(Wish I Didn't Have to) Lie [feat. JORDY]",0,0.506,0.819,0.281,89.814,0.0347,0.279,"Sad"
"198","Learning To Live Without You",2.05e-06,0.559,0.747,0.237,67.442,0.0537,0.174,"Sad"
"199","Love Is Gone - Acoustic",1.66e-06,0.541,0.882,0.153,139.644,0.0303,0.359,"Sad"
"200","Hurt Again",2.97e-06,0.638,0.123,0.564,96.08,0.0374,0.109,"Sad"
"201","primeiro verão",0.912,0.33,0.995,0.0576,69.092,0.0387,0.086,"Calm"
"202","Hideaway",0.93,0.46,0.986,0.0691,116.615,0.0354,0.37,"Calm"
"203","Bla°regn",0.951,0.293,0.97,0.127,171.198,0.165,0.556,"Calm"
"204","When you were near",0.852,0.459,0.991,0.0408,69.467,0.0327,0.316,"Calm"
"205","A Little Journey",0.933,0.454,0.994,0.0841,120.93,0.0547,0.0793,"Calm"
"206","Sunrise",0.779,0.273,0.981,0.007,85.007,0.0529,0.0666,"Calm"
"207","Home full of solipsism",0.94,0.479,0.996,0.0431,95.694,0.0378,0.172,"Calm"
"208","Closure",0.939,0.399,0.995,0.0283,129.154,0.0425,0.252,"Calm"
"209","Fallboard",0.942,0.404,0.996,0.0384,97.428,0.0416,0.385,"Calm"
"210","New Dawn",0.927,0.37,0.989,0.0122,70.854,0.0349,0.215,"Calm"
"211","Fiorire",0.946,0.326,0.991,0.058,94.49,0.037,0.179,"Calm"
"212","In The Stars",0.957,0.397,0.988,0.00375,64.443,0.0393,0.11,"Calm"
"213","Notes in the Stars",0.956,0.419,0.969,0.00546,70.361,0.0524,0.15,"Calm"
"214","Donde Nadas",0.934,0.323,0.995,0.0323,98.443,0.0376,0.196,"Calm"
"215","When We Dance",0.947,0.442,0.987,0.0837,150.64,0.0405,0.147,"Calm"
"216","Oh Endless Day",0.934,0.328,0.994,0.0154,96.264,0.0436,0.308,"Calm"
"217","Young Love",0.916,0.401,0.994,0.0273,133.722,0.0532,0.236,"Calm"
"218","Once when I was young",0.921,0.348,0.987,0.0407,111.386,0.0508,0.0447,"Calm"
"219","Bolero Chiquito",0.95,0.401,0.991,0.0814,78.553,0.0322,0.175,"Calm"
"220","Pour toujours",0.915,0.227,0.994,0.0643,165.015,0.0461,0.31,"Calm"
"221","Megaclite",0.924,0.221,0.992,0.0755,158.791,0.0366,0.273,"Calm"
"222","A World Without Pain",0.885,0.381,0.994,0.00324,101.624,0.0351,0.0839,"Calm"
"223","Amaryllis",0.946,0.417,0.981,0.024,68.886,0.0378,0.135,"Calm"
"224","With you",0.939,0.463,0.991,0.0322,100.024,0.0393,0.198,"Calm"
"225","Older",0.919,0.32,0.996,0.00892,91.366,0.0532,0.338,"Calm"
"226","Lillian",0.939,0.239,0.98,0.0609,203.679,0.0333,0.259,"Calm"
"227","Morning Song",0.931,0.56,0.995,0.0473,98.535,0.0364,0.198,"Calm"
"228","Glow",0.943,0.423,0.992,0.0265,68.263,0.0462,0.188,"Calm"
"229","Mother May I",0.93,0.414,0.991,0.0903,113.389,0.0383,0.0863,"Calm"
"230","Sioux",0.93,0.699,0.995,0.0418,105.03,0.0528,0.115,"Calm"
"231","Mother",0.888,0.529,0.993,0.0012,96.494,0.0946,0.137,"Calm"
"232","Hour of Rest",0.936,0.308,0.973,0.00889,143.231,0.0397,0.11,"Calm"
"233","Apelblom",0.938,0.409,0.995,0.0276,66.873,0.0392,0.323,"Calm"
"234","Heart Questions",0.888,0.345,0.994,0.0089,107.856,0.0522,0.587,"Calm"
"235","Serenity",0.924,0.472,0.993,0.0101,63.534,0.044,0.384,"Calm"
"236","Estebania",0.866,0.481,0.992,0.0875,101.224,0.0338,0.186,"Calm"
"237","Waves",0.961,0.583,0.994,0.0898,113.186,0.0336,0.337,"Calm"
"238","Days Gone By",0.948,0.305,0.994,0.0167,166.454,0.045,0.376,"Calm"
"239","Prelude In A-Flat",0.935,0.274,0.996,0.032,202.592,0.0388,0.531,"Calm"
"240","Quérete a ti mesmo",0.962,0.519,0.992,0.00524,79.054,0.0513,0.198,"Calm"
"241","Circumstances",0.842,0.453,0.99,0.0436,71.987,0.0364,0.198,"Calm"
"242","Skymning",0.913,0.256,0.995,0.00409,101.043,0.0396,0.437,"Calm"
"243","Blue Water Floats",0.861,0.277,0.991,0.017,167.967,0.0439,0.133,"Calm"
"244","In Good And Bad Times",0.936,0.323,0.991,0.0334,87.797,0.0358,0.177,"Calm"
"245","Träumerei",0.935,0.515,0.989,0.048,98.594,0.0408,0.0944,"Calm"
"246","The Orchard (I)",0.954,0.33,0.994,0.0547,176.296,0.059,0.218,"Calm"
"247","Next Part Of The Dream",0.933,0.423,0.994,0.0382,122.373,0.0469,0.222,"Calm"
"248","True Self",0.946,0.2,0.973,0.00406,56.958,0.0432,0.151,"Calm"
"249","Papillon",0.948,0.448,0.988,0.00739,61.133,0.0384,0.323,"Calm"
"250","Whispered Winds",0.943,0.488,0.99,0.0773,79.586,0.0594,0.249,"Calm"
"251","Homecoming",0.889,0.277,0.993,0.0168,166.904,0.048,0.175,"Calm"
"252","A´rtabra",0.917,0.241,0.995,0.0167,204.195,0.0443,0.139,"Calm"
"253","Freddie's Theme",0.955,0.429,0.994,0.00955,65.547,0.0352,0.359,"Calm"
"254","Growth",0.931,0.464,0.995,0.0144,127.023,0.0532,0.147,"Calm"
"255","Softly Spoken",0.959,0.527,0.996,0.00635,69.758,0.0659,0.736,"Calm"
"256","Ever Since",0.922,0.475,0.991,0.0372,85.356,0.0518,0.257,"Calm"
"257","De seu",0.95,0.322,0.995,0.0343,178.422,0.0444,0.312,"Calm"
"258","A New Day",0.941,0.3,0.991,0.0547,203.33,0.0502,0.18,"Calm"
"259","Rest",0.902,0.334,0.993,0.00376,91.418,0.0365,0.15,"Calm"
"260","Juniper",0.95,0.36,0.993,0.0345,137.68,0.0328,0.219,"Calm"
"261","Now and Then",0.879,0.267,0.993,0.0338,74.461,0.0481,0.321,"Calm"
"262","Yet To Come",0.921,0.543,0.99,0.0666,134.053,0.038,0.256,"Calm"
"263","Mystic Lily",0.91,0.439,0.983,0.034,96.76,0.0533,0.0633,"Calm"
"264","Rowan's Lullaby",0.91,0.522,0.992,0.00941,112.488,0.055,0.184,"Calm"
"265","A bed of tulips",0.961,0.521,0.994,0.0058,64.963,0.0459,0.416,"Calm"
"266","Dried Out",0.895,0.283,0.995,0.0187,60.795,0.044,0.128,"Calm"
"267","First Sunlight",0.957,0.377,0.996,0.00365,67.742,0.0477,0.244,"Calm"
"268","Peace",0.925,0.451,0.989,0.0662,93.768,0.037,0.102,"Calm"
"269","In questo momento",0.881,0.223,0.985,0.0144,88.991,0.0408,0.0326,"Calm"
"270","Ocean Heart",0.881,0.46,0.988,0.0679,113.82,0.0346,0.139,"Calm"
"271","The Owl",0.911,0.485,0.986,0.151,61.566,0.0313,0.345,"Calm"
"272","Moving Forward",0.936,0.248,0.995,0.0173,199.345,0.0417,0.179,"Calm"
"273","Sunset Aglow",0.931,0.396,0.995,0.0181,129.868,0.0439,0.393,"Calm"
"274","Kveld",0.935,0.45,0.981,0.0897,64.067,0.036,0.368,"Calm"
"275","Sol 42",0.941,0.413,0.993,0.0137,67.227,0.0445,0.0612,"Calm"
"276","Just a Thought",0.941,0.454,0.984,0.0619,95.39,0.035,0.2,"Calm"
"277","Now and Then",0.948,0.372,0.991,0.0702,98.122,0.0414,0.244,"Calm"
"278","Revenons a` nos moutons",0.872,0.275,0.995,0.00943,94.092,0.0521,0.165,"Calm"
"279","Two Different Souls.",0.891,0.265,0.994,0.0103,110.74,0.0492,0.0985,"Calm"
"280","Airborne",0.895,0.347,0.995,0.0239,83.96,0.0371,0.154,"Calm"
